Question,Response
Challenges which parents raised if any:,No
Challenges which parents raised if any:,no
Challenges which parents raised if any:,.
Challenges which parents raised if any:,.. 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Misuse of smartphone.
Challenges which parents raised if any:,na
Challenges which parents raised if any:,. 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nothing special
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Not
Challenges which parents raised if any:,N.Ap
Challenges which parents raised if any:,Not mentioned
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,..
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,nit any
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No issue raised
Challenges which parents raised if any:,na
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Naintaining balance between studies and other activities 
Challenges which parents raised if any:,N/A
Challenges which parents raised if any:,The students have lost interest in studies and are idling away time unnecessarily 
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,None
Challenges which parents raised if any:,-
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NoneCR
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,Covid
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Lack of staff
Challenges which parents raised if any:,Fear of COVID spread
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None
Challenges which parents raised if any:,.
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Student feel stress
Challenges which parents raised if any:,Students feel stress
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Yes
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No 
Challenges which parents raised if any:,Nil 
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None
Challenges which parents raised if any:,#
Challenges which parents raised if any:,none
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,None
Challenges which parents raised if any:,no
Challenges which parents raised if any:,None
Challenges which parents raised if any:,none
Challenges which parents raised if any:,Nothing 
Challenges which parents raised if any:,Corona 
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NIL
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Yes
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Finance problems
Challenges which parents raised if any:,---
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,-
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Students attendance 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,.
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Slow learner
Challenges which parents raised if any:,No e
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,...
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nine
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,Safety issues
Challenges which parents raised if any:,.
Challenges which parents raised if any:,No issue
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No e
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Covid 19
Challenges which parents raised if any:,None
Challenges which parents raised if any:,nothing
